"","Phylum","Class","Order","Family","Genus","Species","scientificName","RI","BU","TO","HS","IA","Somme","Spring","Summer","Fall","Winter","Somme.1","Common.Name","Trophic.Level","Max.Size..cm..Total.or.standard.length...fish.only","Vulnerability.Category","X1.1.S1..Vulnerable.Species","X1.2.S1..Upper.level.Predators","X1.2.S2..Forage.Species","X1.2.S3..Nutrient.Transporting.Species","X1.2.S4..Habitat.forming.Species","X1.5.S1.Any.CC","Global.CC","National.CC","Regional.CC","Recommended.CP"
"101","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Paraliparis","rosaceus","Paraliparis rosaceus",1,0,0,0,0,1,0,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Parophrys","vetulus","Parophrys vetulus",1,0,1,1,1,4,1,1,1,1,4,"English Sole","3.4","57","M","1",1,"-","*","-","*","*","*","*","-"
"103","Chordata","Actinopteri","Scorpaeniformes","Agonidae","Percis","japonica","Percis japonica",1,1,1,1,0,4,1,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Chordata","Actinopteri","Ovalentaria","Embiotocidae","Phanerodon","furcatus","Phanerodon furcatus",1,0,1,0,0,2,1,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Chordata","Actinopteri","Ovalentaria","Embiotocidae","Phanerodon","vacca","Phanerodon vacca",1,0,1,1,1,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Chordata","Mammalia","Carnivora","Phocidae","Phoca","vitulina","Phoca vitulina",1,0,1,1,1,4,1,0,0,1,2,"Harbour Seal","4.5","-","H","2",2,"-","0","-","0","0","0","0","X"
"107","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","phocoena","Phocoena phocoena",1,1,1,0,0,3,1,0,0,0,1,"Harbour Porpoise","4.5","-","M","2",2,"-","0","-","1","0","1","1","X"
"108","Chordata","Actinopteri","Scorpaeniformes","Pholidae","Pholis","clemensi","Pholis clemensi",1,1,1,1,1,5,1,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Chordata","Actinopteri","Scorpaeniformes","Pholidae","Pholis","laeta","Pholis laeta",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Chordata","Actinopteri","Scorpaeniformes","Pholidae","Pholis","ornata","Pholis ornata",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Phytichthys","chirus","Phytichthys chirus",0,1,1,1,1,4,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Platichthys","stellatus","Platichthys stellatus",1,1,1,1,1,5,1,1,1,1,4,"Starry Flounder","3.6","91","M-H","1",1,"-","*","-","0","0","*","*","-"
"113","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectes","quadrituberculatus","Pleuronectes quadrituberculatus",1,1,0,0,1,3,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronichthys","coenosus","Pleuronichthys coenosus",1,1,1,1,1,5,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Chordata","Actinopteri","Scorpaeniformes","Agonidae","Podothecus","accipenserinus","Podothecus accipenserinus",1,1,1,0,0,3,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Polypera","greeni","Polypera greeni",0,1,0,0,1,2,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Poroclinus","rothrocki","Poroclinus rothrocki",1,0,0,0,1,2,1,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Chordata","Actinopteri","Scorpaeniformes","Psychrolutidae","Psychrolutes","sigalutes","Psychrolutes sigalutes",1,1,1,1,1,5,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Chordata","Actinopteri","Scorpaeniformes","Ptilichthyidae","Ptilichthys","goodei","Ptilichthys goodei",0,1,1,0,0,2,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Radulinus","asprellus","Radulinus asprellus",1,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Chordata","Actinopteri","Scorpaeniformes","Rhamphocottidae","Rhamphocottus","richardsonii","Rhamphocottus richardsonii",0,0,1,0,0,1,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Rhinoliparis","attenuatus","Rhinoliparis attenuatus",0,1,0,0,1,2,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Rhinoliparis","barbulifer","Rhinoliparis barbulifer",1,0,0,0,0,1,0,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Chordata","Actinopteri","Gobiesociformes","Gobiesocidae","Rimicola","muscarum","Rimicola muscarum",0,0,0,0,1,1,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Chordata","Actinopteri","Scorpaeniformes","Bathymasteridae","Ronquilus","jordani","Ronquilus jordani",1,1,1,1,1,5,1,0,0,1,2,"Northern Ronquil","3.1","20","L","0",0,"-","*","-","0","0","*","*","-"
"126","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","salar","Salmo salar",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","confluentus","Salvelinus confluentus",1,1,1,0,0,3,0,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","malma","Salvelinus malma",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","sagax","Sardinops sagax",1,1,0,0,0,2,0,0,0,1,1,"Pacific Sardine","2.8","39.5","L-M","0",0,"1*","1","-","1","*","1","*","X"
"130","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Scorpaenichthys marmoratus",1,0,1,1,1,4,1,1,0,1,3,"Cabezon","3.6","99","M","1",1,"-","0","-","*","*","*","*","-"
"131","Chordata","Actinopteri","Scorpaeniformes","Scorpaenidae","Sebastes","auriculatus","Sebastes auriculatus",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Chordata","Actinopteri","Scorpaeniformes","Scorpaenidae","Sebastes","maliger","Sebastes maliger",1,1,1,1,1,5,1,1,1,1,4,"Quillback Rockfish","3.8","61","H","2",1,"1*","0","-","2","*","2","*","X"
"133","Chordata","Actinopteri","Scorpaeniformes","Scorpaenidae","Sebastes","nigrocinctus","Sebastes nigrocinctus",1,1,1,1,1,5,1,1,1,1,4,"Tiger Rockfish","3.5","61","H-VH","2",1,"1*","*","-","*","*","*","*","X"
"134","Chordata","Actinopteri","Scorpaeniformes","Scorpaenidae","Sebastolobus","macrochir","Sebastolobus macrochir",1,1,1,1,0,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","suckleyi","Squalus suckleyi",1,0,1,1,1,4,1,1,0,0,2,"Spiny Dogfish","4.4","130","H-VH","2",2,"-","1","-","1","0","1","*","X"
"136","Chordata","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius","leucopsarus","Stenobrachius leucopsarus",1,1,1,1,1,5,1,1,1,1,4,"Northern Lampfish","3.1","13","L-M","0",0,"2","*","-","*","*","*","*","X"
"137","Chordata","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius","nannochir","Stenobrachius nannochir",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","leptorhynchus","Syngnathus leptorhynchus",1,1,1,1,1,5,1,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Chordata","Actinopteri","Myctophiformes","Myctophidae","Tarletonbeania","taylori","Tarletonbeania taylori",0,1,0,1,0,2,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Chordata","Actinopteri","Osmeriformes","Osmeridae","Thaleichthys","pacificus","Thaleichthys pacificus",1,0,1,1,1,4,1,0,1,1,3,"Eulachon","3.3","34","L-M","0",0,"2","2","-","2","0","2","2","X"
"141","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Trichocottus","brashnikovi","Trichocottus brashnikovi",0,1,0,1,0,2,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Chordata","Actinopteri","Scorpaeniformes","Trichodontidae","Trichodon","trichodon","Trichodon trichodon",1,1,0,0,0,2,1,0,0,0,1,"Pacific Sandfish","4","30.5","L-M","0",0,"1","*","*","*","*","*","*","-"
"143","Chordata","Actinopteri","Scorpaeniformes","Agonidae","Xeneretmus","latifrons","Xeneretmus latifrons",0,0,0,1,1,2,1,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Xiphister","atropurpureus","Xiphister atropurpureus",0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Xiphister","mucosus","Xiphister mucosus",1,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Chordata","Actinopteri","Scorpaeniformes","Zaproridae","Zaprora","silenus","Zaprora silenus",1,1,1,1,0,4,1,0,0,1,2,"Prowfish","3.7","88","M-H","1",1,"-","*","-","0","0","*","*","-"
