,CommonName,FullName,scientificName,Genus,Final_score,Upper_Level_pred_score,Vuln_fishery_score,Vuln_climate_score,Nutrient_Transporting_Species,Forage_Species,Any_CC,Vulnerability_climate_category,Troph,Max_length,Upper_level_Predators_gale,Vulnerability_fisheries,Vulnerability_fisheries_category,Vulnerability_climate,Global_CC,National_CC,Regional_CC,Recommended_CP,check_gale,check_fishbase
69,Smallhead eelpout,Smallhead eelpout (Lycodapus parviceps),Lycodapus parviceps,Lycodapus,0,0,,,NA,NA,0,,3.26,9.8,NA,10,Low,NA,NA,NA,NA,NA,Yes,NA
70,Shortfin eelpout,Shortfin eelpout (Lycodes brevipes),Lycodes brevipes,Lycodes,0,0,,,NA,NA,0,NA,4.2,30,NA,20,Low,NA,NA,NA,NA,NA,Yes,Yes
72,Slender sole,Slender sole (Lyopsetta exilis),Lyopsetta exilis,Lyopsetta,0,0,,,*,-,0,,3.45,35,0,25,Low,NA,0,*,*,-,NA,NA
79,Sailfin sculpin,Sailfin sculpin (Nautichthys oculofasciatus),Nautichthys oculofasciatus,Nautichthys,0,0,,,NA,NA,0,,4.05,20,NA,10,Low,NA,NA,NA,NA,NA,Yes,NA
80,Tadpole snailfish,Tadpole snailfish (Nectoliparis pelagicus),Nectoliparis pelagicus,Nectoliparis,0,0,,,NA,NA,0,,3.3,6.5,NA,10,Low,NA,NA,NA,NA,NA,Yes,NA
91,Painted greenling,Painted greenling (Oxylebius pictus),Oxylebius pictus,Oxylebius,0,0,,,NA,NA,0,,3.42,25,NA,15,Low,NA,NA,NA,NA,NA,Yes,NA
94,Dragon poacher,Dragon poacher (Percis japonica),Percis japonica,Percis,0,0,,,NA,NA,0,,3.08,42,NA,32,Low to moderate,NA,NA,NA,NA,NA,Yes,NA
95,White seaperch,White seaperch (Phanerodon furcatus),Phanerodon furcatus,Phanerodon,0,0,,,NA,NA,0,,3.34,32,NA,22,Low,NA,NA,NA,NA,NA,Yes,NA
99,Longfin gunnel,Longfin gunnel (Pholis clemensi),Pholis clemensi,Pholis,0,0,,,NA,NA,0,,3.2,13,NA,10,Low,NA,NA,NA,NA,NA,Yes,NA
100,Crescent gunnel,Crescent gunnel (Pholis laeta),Pholis laeta,Pholis,0,0,,,NA,NA,0,,3.27,25,NA,15,Low,NA,NA,NA,NA,NA,Yes,NA
