scientificName,CommonName,FullName,AbbreviatedName,FullNameAbbreviated
Phocoena phocoena,Harbour porpoise,Harbour porpoise (Phocoena phocoena),P. phocoena,Harbour porpoise (P. phocoena)
Delphinus delphis,Common doplhin,Common doplhin (Delphinus delphis),D. delphis,Common doplhin (D. delphis)
Larus argentatus,European herring gull,European herring gull (Larus argentatus),L. argentatus,European herring gull (L. argentatus)
Megaptera novaeangliae,Humpback whale,Humpback whale (Megaptera novaeangliae),M. novaeangliae,Humpback whale (M. novaeangliae)
Acipenser transmontanus,White sturgeon,White sturgeon (Acipenser transmontanus),A. transmontanus,White sturgeon (A. transmontanus)
Agonopsis vulsa,Northern spearnose poacher,Northern spearnose poacher (Agonopsis vulsa),A. vulsa,Northern spearnose poacher (A. vulsa)
Alectrias alectrolophus,Stone cockscomb,Stone cockscomb (Alectrias alectrolophus),A. alectrolophus,Stone cockscomb (A. alectrolophus)
Allosmerus elongatus,Whitebait smelt,Whitebait smelt (Allosmerus elongatus),A. elongatus,Whitebait smelt (A. elongatus)
Alosa sapidissima,American shad,American shad (Alosa sapidissima),A. sapidissima,American shad (A. sapidissima)
Ammodytes personatus,Pacific sandlance,Pacific sandlance (Ammodytes personatus),A. personatus,Pacific sandlance (A. personatus)
Ammodytes hexapterus,Pacific sandlance,Pacific sandlance (Ammodytes hexapterus),A. hexapterus,Pacific sandlance (A. hexapterus)
Amphistichus rhodoterus,Redtail surfperch,Redtail surfperch (Amphistichus rhodoterus),A. rhodoterus,Redtail surfperch (A. rhodoterus)
Anarrhichthys ocellatus,Wolf eel,Wolf eel (Anarrhichthys ocellatus),A. ocellatus,Wolf eel (A. ocellatus)
Anisarchus medius,Stout eelblenny,Stout eelblenny (Anisarchus medius),A. medius,Stout eelblenny (A. medius)
Anoplagonus inermis,Smooth alligatorfish,Smooth alligatorfish (Anoplagonus inermis),A. inermis,Smooth alligatorfish (A. inermis)
Anoplarchus purpurescens,High cockscomb,High cockscomb (Anoplarchus purpurescens),A. purpurescens,High cockscomb (A. purpurescens)
Anoplopoma fimbria,Sablefish,Sablefish (Anoplopoma fimbria),A. fimbria,Sablefish (A. fimbria)
Apodichthys flavidus,Penpoint gunnel,Penpoint gunnel (Apodichthys flavidus),A. flavidus,Penpoint gunnel (A. flavidus)
Apodichthys fucorum,Rockweed gunnel,Rockweed gunnel (Apodichthys fucorum),A. fucorum,Rockweed gunnel (A. fucorum)
Artedius fenestralis,Padded sculpin,Padded sculpin (Artedius fenestralis),A. fenestralis,Padded sculpin (A. fenestralis)
Artedius harringtoni,Scalyhead sculpin,Scalyhead sculpin (Artedius harringtoni),A. harringtoni,Scalyhead sculpin (A. harringtoni)
Artedius lateralis,Smoothhead sculpin,Smoothhead sculpin (Artedius lateralis),A. lateralis,Smoothhead sculpin (A. lateralis)
Ascelichthys rhodorus,Rosylip sculpin,Rosylip sculpin (Ascelichthys rhodorus),A. rhodorus,Rosylip sculpin (A. rhodorus)
Atheresthes evermanni,Kamchatka flounder,Kamchatka flounder (Atheresthes evermanni),A. evermanni,Kamchatka flounder (A. evermanni)
Aulorhynchus flavidus,Tube-snout,Tube-snout (Aulorhynchus flavidus),A. flavidus,Tube-snout (A. flavidus)
Bathyagonus infraspinatus,Spinycheek starsnout,Spinycheek starsnout (Bathyagonus infraspinatus),B. infraspinatus,Spinycheek starsnout (B. infraspinatus)
Bathyagonus nigripinnis,Blackfin poacher,Blackfin poacher (Bathyagonus nigripinnis),B. nigripinnis,Blackfin poacher (B. nigripinnis)
Bathylagus pacificus,Slender blacksmelt,Slender blacksmelt (Bathylagus pacificus),B. pacificus,Slender blacksmelt (B. pacificus)
Blepsias cirrhosus,Silverspotted sculpin,Silverspotted sculpin (Blepsias cirrhosus),B. cirrhosus,Silverspotted sculpin (B. cirrhosus)
Boreogadus saida,Polar cod,Polar cod (Boreogadus saida),B. saida,Polar cod (B. saida)
Brachyistius frenatus,Kelp perch,Kelp perch (Brachyistius frenatus),B. frenatus,Kelp perch (B. frenatus)
Brosmophycis marginata,Red brotula,Red brotula (Brosmophycis marginata),B. marginata,Red brotula (B. marginata)
Bryozoichthys lysimus,Nutcracker prickleback,Nutcracker prickleback (Bryozoichthys lysimus),B. lysimus,Nutcracker prickleback (B. lysimus)
