scientificName,CommonName,FullName,AbbreviatedName,FullNameAbbreviated
Icelinus filamentosus,Threadfin sculpin,Threadfin sculpin (Icelinus filamentosus),I. filamentosus,Threadfin sculpin (I. filamentosus)
Icichthys lockingtoni,Medusafish,Medusafish (Icichthys lockingtoni),I. lockingtoni,Medusafish (I. lockingtoni)
Icosteus aenigmaticus,Ragfish,Ragfish (Icosteus aenigmaticus),I. aenigmaticus,Ragfish (I. aenigmaticus)
Isopsetta isolepis,Butter sole,Butter sole (Isopsetta isolepis),I. isolepis,Butter sole (I. isolepis)
Jordania zonope,Longfin sculpin,Longfin sculpin (Jordania zonope),J. zonope,Longfin sculpin (J. zonope)
Lampetra sp. CBM:ZF:17561,Lamprey,Lamprey (Lampetra sp. CBM:ZF:17561),L. sp.,Lamprey (L. sp.)
Lepidogobius lepidus,Bay goby,Bay goby (Lepidogobius lepidus),L. lepidus,Bay goby (L. lepidus)
Lepidopsetta bilineata,Rock sole,Rock sole (Lepidopsetta bilineata),L. bilineata,Rock sole (L. bilineata)
Lepidopsetta polyxystra,Northern Rock Sole,Northern Rock Sole (Lepidopsetta polyxystra),L. polyxystra,Northern Rock Sole (L. polyxystra)
Lepomis gibbosus,Pumpkinseed,Pumpkinseed (Lepomis gibbosus),L. gibbosus,Pumpkinseed (L. gibbosus)
Leptoclinus maculatus,Daubed shanny,Daubed shanny (Leptoclinus maculatus),L. maculatus,Daubed shanny (L. maculatus)
Leptocottus armatus,Pacific staghorn sculpin,Pacific staghorn sculpin (Leptocottus armatus),L. armatus,Pacific staghorn sculpin (L. armatus)
Leuroglossus schmidti,Northern smoothtongue,Northern smoothtongue (Leuroglossus schmidti),L. schmidti,Northern smoothtongue (L. schmidti)
Liparis cyclopus,Ribbon snailfish,Ribbon snailfish (Liparis cyclopus),L. cyclopus,Ribbon snailfish (L. cyclopus)
Liparis florae,Tidepool snailfish,Tidepool snailfish (Liparis florae),L. florae,Tidepool snailfish (L. florae)
Liparis fucensis,Slipskin snailfish,Slipskin snailfish (Liparis fucensis),L. fucensis,Slipskin snailfish (L. fucensis)
Liparis gibbus,Variegated snailfish,Variegated snailfish (Liparis gibbus),L. gibbus,Variegated snailfish (L. gibbus)
Liparis mucosus,Slimy snailfish,Slimy snailfish (Liparis mucosus),L. mucosus,Slimy snailfish (L. mucosus)
Liparis ochotensis,snailfish,snailfish (Liparis ochotensis),L. ochotensis,snailfish (L. ochotensis)
Liparis pulchellus,Showy snailfish,Showy snailfish (Liparis pulchellus),L. pulchellus,Showy snailfish (L. pulchellus)
Lipolagus ochotensis,Eared blacksmelt,Eared blacksmelt (Lipolagus ochotensis),L. ochotensis,Eared blacksmelt (L. ochotensis)
Lota lota,Burbot,Burbot (Lota lota),L. lota,Burbot (L. lota)
Lumpenus sagitta,Snake prickleback,Snake prickleback (Lumpenus sagitta),L. sagitta,Snake prickleback (L. sagitta)
Lycodapus mandibularis,Pallid eelpout,Pallid eelpout (Lycodapus mandibularis),L. mandibularis,Pallid eelpout (L. mandibularis)
Lycodes reticulatus,Arctic eelpout,Arctic eelpout (Lycodes reticulatus),L. reticulatus,Arctic eelpout (L. reticulatus)
Lycodes cortezianus,Bigfin eelpout,Bigfin eelpout (Lycodes cortezianus),L. cortezianus,Bigfin eelpout (L. cortezianus)
Lycodes pacificus,Blackbelly prickleback,Blackbelly prickleback (Lycodopsis pacificus),L. pacificus,Blackbelly prickleback (L. pacificus)
Lyopsetta exilis,Slender sole,Slender sole (Lyopsetta exilis),L. exilis,Slender sole (L. exilis)
Malacocottus zonurus,Darkfin sculpin,Darkfin sculpin (Malacocottus zonurus),M. zonurus,Darkfin sculpin (M. zonurus)
Mallotus villosus,Capelin,Capelin (Mallotus villosus),M. villosus,Capelin (M. villosus)
Melamphaes lugubris,Highsnout melamphid,Highsnout melamphid (Melamphaes lugubris),M. lugubris,Highsnout melamphid (M. lugubris)
Merluccius productus,Pacific Hake,Pacific Hake (Merluccius productus),M. productus,Pacific Hake (M. productus)
Microgadus proximus,Pacific tomcod,Pacific tomcod (Microgadus proximus),M. proximus,Pacific tomcod (M. proximus)
Micropterus dolomieu,Smallmouth bass,Smallmouth bass (Micropterus dolomieu),M. dolomieu,Smallmouth bass (M. dolomieu)
Microstomus pacificus,Dover sole,Dover sole (Microstomus pacificus),M. pacificus,Dover sole (M. pacificus)
Mylocheilus caurinus,Northwest dace,Northwest dace (Mylocheilus caurinus),M. caurinus,Northwest dace (M. caurinus)
