Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
ABNNN07030,Synthliboramphus antiquus,Ancient Murrelet,CDF; CWH,"S2S3B,S4N (2022)",Blue,G4 (2016),SC,1-SC (2006),Y,,Y,
PDSCR09070,Synthyris wyomingensis,Wyoming kitten-tails,ESSFdk; IMA,S2 (2019),Red,G5 (2016),,,,,Y,
NFTRE05010,Syzygospora mycetophila,,,S2S3 (2021),Blue,GNR,,,,,,
IIODO02010,Tanypteryx hageni,Black Petaltail,CWH,S2S3 (2023),Blue,G4 (2000),,,,,Y,
NFBOL06020,Tapinella panuoides,,,S2S4 (2021),Blue,GNR,,,,,,
PDAST930J0,Taraxacum hyparcticum,High-Arctic dandelion,BAFAun,SH (2019),Red,GNR,,,,,Y,
PDONA03060,Taraxia breviflora,short-flowered evening-primrose,IDFdk; MSxk; SBSmk,S1 (2019),Red,G5 (1988),,,,,Y,
NFFUNTACU1,Tarzetta cupularis,,,S2S4 (2021),Blue,GNR,,,,,,
AMAJF04010,Taxidea taxus,American Badger,BG; ESSF; ICH; IDF; IMA; MS; PP; SBPS,S2 (2015),Red,G5 (2016),E,1-E (2018),Y,,Y,
NBMUS79030,Tayloria hornschuchii,,,S2S3 (2024),Blue,G3G5 (2000),,,,,,
NBMUS79060,Tayloria splachnoides,,ESSFvcp,S1S2 (2024),Red,G2G3 (1999),,,,,,
IILEG52050,Telphusa sedulitella,a twirler moth,,S3? (2020),Blue,GNR,,,,,,
PDAST8H0B1,Tephroseris frigida,purple-haired groundsel,BAFA; CMA; SWBun; SWBuns,S3 (2019),Blue,G5 (2016),,,,,Y,
PDAST8H1E0,Tephroseris lindstroemii,northern groundsel,BAFA; CMA,S3 (2019),Blue,G4 (2016),,,,,Y,
PDAST8H0U0,Tephroseris palustris,marsh fleabane,BWBSdk; BWBSmw,S3? (2022),Blue,G5 (2016),,,,,Y,
PDAST8H3C0,Tephroseris yukonensis,Yukon groundsel,BAFA; CMA,S3 (2019),Blue,G4G5 (2016),,,,,Y,
NBMUS7C050,Tetraplodon pallidus,,BAFA,S2S3 (2024),Blue,G5 (2015),,,,,,
NFAGA4Q010,Tetrapyrgos subdendrophora,,,S3 (2021),Blue,GNR,,,,,,
NBMUS7A020,Tetrodontium repandum,,ESSFwcp; MHmm,S3 (2024),Blue,G2G3 (2009),,,,,,
AFCHB04010,Thaleichthys pacificus,Eulachon,CWH,S2S3 (2004),Blue,G5 (2005),E/T,,,,,
PDRAN0M060,Thalictrum dasycarpum,purple meadowrue,ESSFdk; ICHdw; ICHxw; IDFdm,S3 (2019),Blue,G5 (2016),,,,,Y,
IILEM2P020,Thaumatographa youngiella,a tortricid moth,,S2S3 (2020),Blue,GNR,,,,,,
NFTHE01020,Thelephora anthocephala,,,S2S4 (2021),Blue,GNR,,,,,,
NFFUNTHCA1,Thelephora caryophyllea,,,S2S4 (2021),Blue,GNR,,,,,,
NFTHE01010,Thelephora palmata,,,S2S4 (2021),Blue,GNR,,,,,,
NFTHE01050,Thelephora regularis,,,S2S4 (2021),Blue,GNR,,,,,,
AMAFC01047,Thomomys talpoides segregatus,"Northern Pocket Gopher, segregatus subspecies",ICH,S1S3 (2020),Red,G5T1T3Q (2021),,,,,Y,
NBMUS7F0A0,Thuidium delicatulum var. radicans,,,S3 (2024),Blue,G5T5 (2015),,,,,,
C1A9CTPPM1,Thuja plicata / Achlys triphylla,western redcedar / vanilla-leaf,CDFmm/12,S1 (2013),Red,G1,N/A,N/A,,,Y,
CEBC000289,Thuja plicata - Betula papyrifera / Gymnocarpium dryopteris,western redcedar - paper birch / oak fern,IDFmw2/04,S2S3 (2004),Blue,GNR,N/A,N/A,,,,
C1A9CTPCA2,Thuja plicata - Callitropsis nootkatensis / Coptis aspleniifolia Moist Maritime 2,western redcedar - yellow-cedar / spleenwort-leaved goldthread Moist Maritime 2,CWHmm2/07,S1 (2019),Red,G4G5,N/A,N/A,,,Y,
C1B2CARCO1,Thuja plicata / Carex obnupta,western redcedar / slough sedge,CWHdm/15; CWHxm1/15; CWHxm2/15,S2 (2021),Red,GNR,N/A,N/A,,,Y,
CEBC003015,Thuja plicata / Chimaphila umbellata / Hylocomiadelphus triquetrus,western redcedar / prince's pine / electrified cat's-tail moss,ICHwk3/03,S3 (2018),Blue,GNR,N/A,N/A,,,,
CEBC000235,Thuja plicata / Gymnocarpium dryopteris - Cornus canadensis,western redcedar / oak fern - bunchberry,ICHmk2/05,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000029,Thuja plicata / Gymnocarpium dryopteris / Hylocomiadelphus triquetrus,western redcedar / oak fern / electrified cat's-tail moss,ICHmk3/04,S3 (2004),Blue,GNR,N/A,N/A,,,,
C2B2CARLI1,Thuja plicata / Lonicera involucrata,western redcedar / black twinberry,CWHdm/14; CWHxm1/14; CWHxm2/14,S1 (2019),Red,GNR,N/A,N/A,,South Central Coast LUO,Y,
CEBC000556,Thuja plicata / Lysichiton americanus / Sphagnum spp.,western redcedar / skunk cabbage / peat-mosses,ICHmm/08,S2 (2004),Red,GNR,N/A,N/A,,,,
C1A9CTPOC1,Thuja plicata / Oemleria cerasiformis,Western Redcedar / Osoberry,CDFmm/13,S1 (2006),Red,G1,N/A,N/A,,,Y,
C1A9CTPOH1,Thuja plicata / Oplopanax horridus,western redcedar / devil's club,CWHds1/07; CWHds2/07,S2S3 (2016),Blue,G2G4,N/A,N/A,Y,Central and North Coast LUO; South Central Coast LUO,,
CEBC000562,Thuja plicata / Oplopanax horridus / Matteuccia struthiopteris,western redcedar / devil's club / ostrich fern,ICHvk2/05,S2 (2018),Red,GNR,N/A,N/A,Y,,Y,
CEBC000017,Thuja plicata / Paxistima myrsinites,western redcedar / falsebox,ICHdk/02; ICHmk2/01; ICHmk2/04; ICHmk3/01; ICHmm/02; ICHwk4/03,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000016,Thuja plicata / Paxistima myrsinites / Aralia nudicaulis,western redcedar / falsebox / wild sarsaparilla,ICHdk/01; ICHdk/04; ICHdk/05,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000228,Thuja plicata / Paxistima myrsinites - Lonicera utahensis,western redcedar / falsebox - Utah honeysuckle,ICHmk1/01,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000273,Thuja plicata - Picea engelmannii x glauca / Lonicera involucrata / Carex disperma,western redcedar - hybrid white spruce / black twinberry / soft-leaved sedge,IDFdc/07; IDFdk2/07,S2 (2004),Red,GNR,N/A,N/A,,,,
C2A2BTPCC1,Thuja plicata - Picea sitchensis / Conocephalum salebrosum,western redcedar - Sitka spruce / snake liverwort,CWHwh1/06; CWHwh2/04,S3 (2004),Blue,GNR,N/A,N/A,,Haida Gwaii LUO,,
C2A2BTHLA1,Thuja plicata - Picea sitchensis / Lysichiton americanus,western redcedar - Sitka spruce / skunk cabbage,CDFmm/Ws54; CWHdm/12; CWHdm/Ws54; CWHds1/12; CWHds1/Ws54; CWHds2/12; CWHds2/Ws54; CWHmm1/12; CWHmm1/Ws54; CWHms1/11; CWHms1/Ws54; CWHms2/11; CWHms2/Ws54; CWHvh1/13; CWHvh1/Ws54; CWHvh2/13; CWHvh2/Ws54; CWHvm1/14; CWHvm1/Ws54; CWHvm2/Ws54; CWHwh1/12; CWHwh1/Ws54; CWHwh2/06; CWHwh2/Ws54; CWHws1/11; CWHws1/Ws54; CWHws2/Ws54; CWHxm1/Ws54; CWHxm2/Ws54,S3? (2004),Blue,G3?,N/A,N/A,,Central and North Coast LUO; South Central Coast LUO,,
